PRUNED
0, 0
0, 1
1, 1
1, 2
1, 3
0, 3
0, 4
0, 5
1, 5
1, 6
0, 6
0, 7
0, 8
1, 8
1, 7
2, 7
3, 7
3, 8
4, 8
5, 8
5, 7
4, 7
4, 6
5, 6
6, 6
6, 7
6, 8
6, 9
5, 9
4, 9
3, 9
2, 9
1, 9
0, 9
0, 10
1, 10
2, 10
2, 11
3, 11
3, 12
3, 13
3, 14
4, 14
4, 13
4, 12
5, 12
5, 13
6, 13
7, 13
7, 12
7, 11
8, 11
9, 11
9, 12
10, 12
11, 12
11, 11
10, 11
10, 10
10, 9
11, 9
11, 10
12, 10
12, 9
12, 8
12, 7
11, 7
11, 8
10, 8
10, 7
9, 7
9, 6
9, 5
8, 5
8, 4
9, 4
9, 3
9, 2
10, 2
10, 1
10, 0
11, 0
12, 0
12, 1
13, 1
13, 0
14, 0
14, 1
15, 1
16, 1
16, 2
16, 3
17, 3
17, 2
17, 1
18, 1
18, 0
19, 0
19, 1
20, 1
21, 1
22, 1
22, 0
23, 0
24, 0
24, 1
23, 1
23, 2
24, 2
24, 3
24, 4
23, 4
23, 3
22, 3
22, 2
21, 2
20, 2
19, 2
18, 2
18, 3
18, 4
19, 4
19, 3
20, 3
20, 4
20, 5
20, 6
20, 7
20, 8
20, 9
20, 10
21, 10
22, 10
22, 9
23, 9
23, 8
24, 8
24, 9
24, 10
24, 11
24, 12
23, 12
22, 12
22, 11
21, 11
20, 11
20, 12
19, 12
19, 11
18, 11
17, 11
17, 10
17, 9
16, 9
15, 9
14, 9
13, 9
13, 10
13, 11
13, 12
12, 12
12, 13
13, 13
14, 13
14, 14
15, 14
15, 15
16, 15
17, 15
18, 15
18, 14
18, 13
19, 13
20, 13
20, 14
19, 14
19, 15
20, 15
20, 16
20, 17
21, 17
22, 17
22, 18
23, 18
23, 17
23, 16
22, 16
22, 15
21, 15
21, 14
21, 13
22, 13
22, 14
23, 14
23, 13
24, 13
24, 14
24, 15
24, 16
24, 17
24, 18
24, 19
23, 19
23, 20
23, 21
23, 22
23, 23
24, 23
24, 24
